R,G,B
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.3,0.2
0.1,0.35,0.2
0.1,0.35,0.25
0.1,0.4,0.25
0.1,0.4,0.25
0.1,0.4,0.25
0.1,0.4,0.25
0.1,0.35,0.25
0.1,0.35,0.2
0.1,0.3,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.25
0.1,0.35,0.25
0.1,0.35,0.25
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.3,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.25
0.1,0.4,0.25
0.1,0.4,0.25
0.1,0.4,0.25
0.1,0.4,0.25
0.1,0.45,0.25
0.1,0.45,0.25
0.1,0.45,0.25
0.1,0.45,0.25
0.1,0.45,0.3
0.1,0.45,0.25
0.1,0.45,0.25
0.1,0.4,0.25
0.1,0.4,0.25
0.1,0.4,0.25
0.1,0.45,0.25
0.1,0.45,0.25
0.1,0.45,0.25
0.1,0.4,0.25
0.1,0.4,0.25
0.1,0.4,0.25
0.1,0.4,0.25
0.1,0.35,0.2
0.1,0.3,0.2
0.1,0.25,0.15
0.1,0.35,0.25
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.3,0.2
0.1,0.3,0.2
0.1,0.3,0.2
0.1,0.3,0.2
0.1,0.35,0.2
0.1,0.4,0.25
0.1,0.4,0.25
0.1,0.35,0.25
0.1,0.35,0.25
0.1,0.35,0.25
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.35,0.2
0.1,0.4,0.25
0.1,0.5,0.3
0.1,0.45,0.25
0.1,0.4,0.25
0.1,0.45,0.25
0.1,0.45,0.25
0.1,0.4,0.25
0.1,0.4,0.25
0.1,0.4,0.25
0.1,0.45,0.25
0.1,0.5,0.3
0.1,0.5,0.3
0.1,0.5,0.3
0.1,0.45,0.25
0.1,0.3,0.2
0.1,0.25,0.15
0.1,0.2,0.15
0.15,0.55,0.3
0.15,0.6,0.35
0.15,0.65,0.35
0.15,0.6,0.35
